종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"094480","갤럭시아머니트리","KOSDAQ","중견기업부","12080","310","2.63","12030","12300","11860","338755","4086856420","473896443040","39229838"
"011420","갤럭시아에스엠","KOSPI",,"2415","30","1.26","2405","2430","2365","106734","256891011","66532390260","27549644"
"039240","경남스틸","KOSDAQ","우량기업부","3155","15","0.48","3140","3155","3105","59859","187813412","85120650620","26979604"
"053950","경남제약","KOSDAQ","중견기업부","665","2","0.30","669","669","661","77773","51767300","51967993070","78147358"
"002100","경농","KOSPI",,"10020","20","0.20","10000","10050","9970","10724","107234080","195616201500","19522575"
"009450","경동나비엔","KOSPI",,"72700","0","0.00","72300","73000","71900","17250","1250462350","1059136638400","14568592"
"267290","경동도시가스","KOSPI",,"22250","1150","5.45","21100","22250","21000","63346","1377287800","131172783500","5895406"
"012320","경동인베스트","KOSPI",,"66300","1800","2.79","64100","66800","64000","2718","177771700","156801024900","2365023"
"011040","경동제약","KOSDAQ","중견기업부","6090","80","1.33","6010","6110","6000","25145","152687215","187381784940","30768766"
"000050","경방","KOSPI",,"7880","200","2.60","7620","7910","7620","29844","234353415","216032327600","27415270"
"214390","경보제약","KOSPI",,"4995","15","0.30","4985","5080","4955","3601","17958151","119414765700","23906860"
